"p_ix","prolific_id","condition","gender","age","ins_time","tut_time","trial_time","total_time","comprehension_score","tutorial_tries","tutorial_keys","c1t1","c1t2","c1t3","c2t1","c2t2","c2t3","test1","test2","test3","test4","test5","c1t1_tries","c1t2_tries","c1t3_tries","c2t1_tries","c2t2_tries","c2t3_tries","test1_tries","test2_tries","test3_tries","test4_tries","test5_tries","total","m_steps","m_steps_successes","m_steps_failures","n_add","n_delete","n_corner","n_bar","n_move","n_rotate","n_flip","n_reflect","comments","bonus","test_rr1","test_rr2","test_f1","test_f2","test_both"
45,"5f45882f55090e1a65935ffd","train_flower","Male","50",13.22,2.44,39.58,55.24,5,"1,1,1,1,3,1,1,1,1","2,4,3,3,19,4,12,4,5",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,0,0,0,4,2,1,3,2,5,4,1,7,18.5,19.2857142857143,18.1333333333333,40,24,25,39,113,48,18,79,"I found the task challenging but mildly enjoyable if a little frustrating at times  Once I got the hang of the Reflect feature especially combined with Rotate I had better success although there was an element of trial and error occasionally  I feel if I practised some more on these puzzles I would eventually master all of them",1.4,FALSE,TRUE,TRUE,TRUE,TRUE
46,"67334911eb1de6dd02fc126a","train_flower","Male","24",8.48,2.49,16.99,27.97,4,"2,1,1,1,9,1,1,1,5","8,7,3,2,142,3,5,3,52",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,0,0,0,4,5,6,5,1,5,5,3,3,22.5588235294118,21.6666666666667,22.6451612903226,45,60,63,48,223,43,36,225,"Very hard to get the hang of it",0.6,FALSE,FALSE,FALSE,TRUE,TRUE
47,"691de5f84e51711d498cbd95","train_flower","Male","29",4.77,4.22,43.25,52.24,5,"1,1,1,1,1,1,1,1,2","2,4,2,2,4,3,5,3,37",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,0,0,0,1,1,1,2,3,5,5,5,5,17.3913043478261,15.8,17.8333333333333,22,33,47,21,179,34,3,41,"The last several were quite difficult",1,FALSE,FALSE,TRUE,TRUE,FALSE
48,"5e6fc1d5d6d43357de8e6edc","train_flower","Male","43",11.32,3.87,52.7,67.9,3,"1,3,1,1,1,1,1,1,2","2,16,2,2,4,3,6,3,8",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,5,5,5,5,5,5,5,5,0,21.525,NA,21.525,111,28,51,13,441,38,15,133,"u can give me 10 mil pound to solve one not 020 pi and still dont do any of them too difficult when u add a tile an try to move it  all moves i know should be a strategy but if nobody explain u the strategy maybe one in 10000 people can figure it alone",0,FALSE,FALSE,FALSE,FALSE,FALSE
49,"6677328704eab5e142f81a4c","train_flower","Male","33",13.91,4.87,27.41,46.19,3,"2,1,1,1,2,1,1,1,3","6,13,11,6,14,3,7,4,45",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,0,0,0,2,1,1,1,5,5,5,2,5,24.9090909090909,12.8,28.4705882352941,66,88,43,44,170,71,16,43,"Yes I enjoyed it",1,FALSE,FALSE,TRUE,FALSE,TRUE
50,"5d921a2e34fc500016df8e5f","train_flower","Female","43",8.03,2,60.44,70.47,4,"1,1,1,1,1,1,1,1,1","2,7,2,2,4,3,5,3,6",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,0,0,0,7,7,2,5,4,8,2,7,6,23.3333333333333,22.3333333333333,23.5,35,68,64,40,446,93,15,195,"I did enjoy it and would happily spend more time trying but I was worried I was going to get timed out of the study so I rushed a bit",1.2,TRUE,TRUE,TRUE,TRUE,FALSE
51,"677c455afc1062faab5b165e","train_reflect","Male","43",7.13,11.29,27.79,46.21,5,"1,1,1,1,1,1,1,1,11","2,4,2,2,4,3,6,3,114",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,6,7,6,0,0,0,5,5,5,5,5,0,24.8863636363636,NA,24.8863636363636,143,81,125,137,340,95,115,38,"hated it couldnt do it got frustrated ",0,FALSE,FALSE,FALSE,FALSE,FALSE
52,"60fc47a77f054a5c6b167d70","train_flower","Female","48",4.19,1.56,70.19,75.94,4,"1,1,1,1,1,1,1,1,1","2,4,2,2,4,3,5,5,5",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,0,0,0,2,9,1,1,62,5,3,2,7,15.3647058823529,20.4285714285714,14.9102564102564,138,70,148,15,631,80,22,131,"I actually got 88 not sure why one of them didnt register I think it was trial 5 or 6 it was the one I spent the vast majority of time on I really enjoyed it though I love mental challenges like this and found it really hard to work out I found it very frustrating that I couldnt easily turn the pattern the ways I wanted to In the end I found a starting point and tried to replicate it till I solved each one I should have been more efficient though",1.4,FALSE,TRUE,TRUE,TRUE,TRUE
53,"5bf368846edd7200017136c7","train_reflect","Female","42",5.9,1.48,37.95,45.33,3,"1,1,1,1,1,1,1,1,1","2,4,2,2,4,3,6,3,8",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,5,5,4,0,0,0,3,2,2,2,6,5,26,17.8,27.7083333333333,73,44,33,16,412,96,29,43,"no",1,TRUE,TRUE,TRUE,TRUE,FALSE
54,"559e82dffdf99b7a9a124180","train_reflect","Female","50",8.79,2.72,30.27,41.78,5,"1,3,1,1,1,1,2,1,2","2,19,2,2,4,3,7,3,12",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,5,2,1,0,0,0,5,2,4,1,1,7,19.3809523809524,17.1428571428571,20.5,30,16,23,17,124,82,13,87,"At first it was difficult then I got the hang of it",1.4,TRUE,TRUE,TRUE,TRUE,TRUE
